英語,日本語,備考
high-level interface,ハイレベルなインターフェイス,より便利だったり高機能だったりする機能（ハイレベルな機能）の使い方（インターフェイス）。ハイレベルな機能は基礎となる機能を使って作るが、具体的にどうやって作っているかは使う側は意識せずに使えるようにすることが大事。
Rubyist,Rubyist（るびーすと）,Rubyユーザーのこと。
distributed full-text search engine,分散全文検索エンジン,複数のマシンで協調して全文検索（GoogleでのWeb検索のようなもの）を実行するソフトウェア。資料ではDFTSEと略している。
glue,グルー,他のプログラミング言語の機能を使うために頑張る箇所の機能や、複数の機能を組み合わせること。
embed,組み込み,アプリケーションの中に機能を取り込むことやスマートフォンなど小さな機械で動くソフトウェアのこと。この発表では機能を取り込むこと。
CRuby,CRuby（しーるびー）,C言語で実装されたRuby。Rubyには複数の実装があるが、そのうち、まつもとさんが作ったもの。
JRuby,JRuby（じぇいるびー）,Javaで実装されたRuby。
full-text search engine,全文検索エンジン,1台のマシンで全文検索（GoogleでのWeb検索のようなもの）を実行するソフトウェア。資料ではFTSEと略している。
Droonga,Droonga（どゅるんが）,Rubyで実装された分散全文検索エンジン。
Vagrant,Vagrant（べいぐらんと）,開発環境を簡単に構築するためのソフトウェア。
Active Record,Active Record（あくてぃぶれこーど）,RDBMS（りれーしょなるでーたべーすまねーじめんとしすてむ）にアクセスする便利なAPIを提供するライブラリー。
Rails,Rails（れいるず）,Webアプリケーションを簡単に構築するためのソフトウェア。広く使われている。省略せずにRuby on Railsとも呼ばれる。
bindings,バインディング,ある言語のライブラリー（例えばC）の機能を他の言語（Ruby）から使えるようにするための間を取り持つ機能。Rubyでは拡張ライブラリー（extension library）ともいう。
extension library,拡張ライブラリー,Rubyではバインディングのこと。
